lambda_idx	num_variables	Ncells	Vcells	mem
1	1012	210.4	2460.3	2670.7000000000003
2	1017	210.9	2487.1	2698.0
3	1030	210.9	2531.9	2742.8
4	1064	211.0	2619.9	2830.9
5	1126	211.0	2765.4	2976.4
6	1248	211.0	3034.1	3245.1
7	1404	211.0	3376.7	3587.7
8	1526	211.0	3639.2	3850.2
9	1578	211.0	3766.2	3977.2
10	1652	211.0	3928.0	4139.0
11	1726	211.0	4089.8	4300.8
12	2726	211.1	6146.9	6358.0
13	3228	211.1	7197.9	7409.0
14	3374	211.1	7513.9	7725.0
15	3566	211.1	7922.3	8133.400000000001
16	3698	211.2	8207.5	8418.7
17	3837	211.2	8507.0	8718.2
18	4009	211.2	8870.2	9081.400000000001
19	4210	211.2	9294.9	9506.1
20	5710	211.3	12378.8	12590.099999999999
21	6213	211.3	13431.9	13643.199999999999
22	6366	211.3	13758.2	13969.5
23	6603	211.3	14257.0	14468.3
24	6862	211.4	14801.1	15012.5
25	7156	211.4	15416.9	15628.3
26	9156	211.5	19527.4	19738.9
27	9657	210.0	17220.1	17430.1
28	8322	210.9	17579.9	17790.800000000003
29	9322	210.9	19637.0	19847.9
30	10822	211.0	22729.2	22940.2
31	12822	211.1	26847.9	27059.0
32	15322	211.3	31993.6	32204.899999999998
33	18322	211.4	38165.7	38377.1
34	21822	210.6	40176.6	40387.2
35	20822	211.5	43269.3	43480.8
36	22822	211.7	47388.2	47599.899999999994
37	25322	211.8	52533.8	52745.600000000006
38	28322	212.0	58706.0	58918.0
39	31822	212.2	65905.3	66117.5
40	35822	212.4	74130.8	74343.2
41	40322	212.6	83383.6	83596.20000000001
42	45322	211.8	85386.7	85598.5
43	42822	212.8	88479.7	88692.5
44	44822	212.9	92598.8	92811.7
45	47322	213.0	97744.6	97957.6
46	50322	213.2	103917.2	104130.4
47	53822	213.4	111116.4	111329.79999999999
48	54325	213.4	112171.4	112384.79999999999
49	54875	213.5	113320.4	113533.9
50	55300	213.5	114208.5	114422.0
51	55751	213.5	115150.4	115363.9
52	56358	213.6	116409.1	116622.70000000001
53	56977	213.6	117693.5	117907.1
54	60977	213.8	125911.3	126125.1
55	61477	213.8	126960.3	127174.1
56	61706	213.9	127444.5	127658.4
57	62325	213.9	128730.2	128944.09999999999
58	63007	213.9	130144.2	130358.09999999999
59	63751	214.0	131686.6	131900.6
60	68251	214.2	140931.2	141145.40000000002
61	68755	214.3	141988.3	142202.59999999998
62	69019	214.3	142544.8	142759.09999999998
63	69781	214.3	144124.5	144338.8
64	74781	214.6	154395.4	154610.0
65	75281	214.6	155445.1	155659.7
66	75421	214.6	155747.2	155961.80000000002
67	76135	214.7	157228.7	157443.40000000002
68	81635	215.0	168527.1	168742.1
69	82135	215.0	169576.4	169791.4
70	82234	215.0	169794.7	170009.7
71	82873	215.1	171122.6	171337.7
72	88873	215.4	183447.8	183663.19999999998
73	89373	215.4	184497.5	184712.9
74	89472	215.4	184716.1	184931.5
75	90151	215.5	186126.5	186342.0
76	91379	215.5	188663.6	188879.1
77	97879	214.7	190448.7	190663.40000000002
78	93879	215.6	193543.3	193758.9
79	95879	215.8	197663.5	197879.3
80	98379	215.9	202810.4	203026.3
81	98879	216.0	203861.5	204077.5
82	98913	216.0	203947.2	204163.2
83	99333	216.0	204825.5	205041.5
84	102333	216.2	210991.8	211208.0
85	105833	216.3	218192.3	218408.59999999998
86	106333	216.4	219242.7	219459.1
87	110333	216.6	227462.5	227679.1
88	114833	216.8	236716.6	236933.4
89	115333	216.9	237767.3	237984.19999999998
90	120333	217.1	248040.7	248257.80000000002
91	125833	217.4	259348.3	259565.69999999998
92	126333	217.5	260399.3	260616.8
93	126333	217.5	260411.6	260629.1
